smiles,nn_similarity,ecfp4_prob,ecfp4_pred,sim_bin
CCC(=O)C(C(=O)O)C(C)C,0.5652173913043478,0.9925283320116394,1,"[0.4, 0.6)"
CCC(O)C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)O,0.813953488372093,0.01919466914642111,0,"[0.8, 1.0)"
CCC1OC(=O)C1CCCCc1c[nH]c(Cl)c1Cl,0.813953488372093,0.00046524458038378803,0,"[0.8, 1.0)"
CCCCCCC(C(=O)O)C(O)CC,0.7241379310344828,0.6158987157707981,1,"[0.6, 0.8)"
CCCCCCC1C(=O)OC1CC,0.7333333333333333,0.06033048658244871,0,"[0.6, 0.8)"
CCCCC(C(=O)O)C(=O)CC,0.5833333333333334,0.9649428498823138,1,"[0.4, 0.6)"
CCC(=O)C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)O,0.6818181818181818,0.0008279524420346116,0,"[0.6, 0.8)"
CCC(O)C(C(=O)O)C(C)C,0.5833333333333334,0.9860995285420888,1,"[0.4, 0.6)"
CCC1OC(=O)C1C(C)C,0.5185185185185185,0.7586513658515897,1,"[0.4, 0.6)"
CCCCCCC(C(=O)O)C(=O)CC,0.5714285714285714,0.06357739519469853,0,"[0.4, 0.6)"
CCC=C(C(=O)O)C(C)C,0.5217391304347826,0.9993858651049332,1,"[0.4, 0.6)"
CCCCCCC(CCC)C(=O)O,0.76,0.7533642269563793,1,"[0.6, 0.8)"
CCCCC(C(=O)O)C(O)CC,0.7037037037037037,0.9984640582180788,1,"[0.6, 0.8)"
CCCCC1C(=O)OC1CC,0.7142857142857143,0.8092081616252709,1,"[0.6, 0.8)"
CCC=C(CCCC)C(=O)O,0.6,0.6810247555622511,1,"[0.6, 0.8)"
CCC=C(CCCCCC)C(=O)O,0.5555555555555556,0.2604897613844498,0,"[0.4, 0.6)"
CCCC(C(=O)O)C(C)C,0.5652173913043478,0.9983964213796319,1,"[0.4, 0.6)"
CCC=C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)O,0.6888888888888889,0.004280728195745361,0,"[0.6, 0.8)"
CCCCC(CCC)C(=O)O,0.7391304347826086,0.9991931247961353,1,"[0.6, 0.8)"
CCCC(CCCCc1c[nH]c(Cl)c1Cl)C(=O)O,0.8048780487804879,0.044331801157438185,0,"[0.8, 1.0)"
CC(=O)C(C(=O)O)C(C)C,0.5,0.9899720213152792,1,"[0.4, 0.6)"
CC(O)C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)O,0.7272727272727273,0.001440430422330718,0,"[0.6, 0.8)"
CC1OC(=O)C1CCCCc1c[nH]c(Cl)c1Cl,0.6888888888888889,0.0035452847562349363,0,"[0.6, 0.8)"
CCCCCCC(C(=O)O)C(C)O,0.6333333333333333,0.15254534649005894,0,"[0.6, 0.8)"
CCCCCCC1C(=O)OC1C,0.59375,0.4277308760038877,0,"[0.4, 0.6)"
CCCCC(C(C)=O)C(=O)O,0.5652173913043478,0.9947071930637295,1,"[0.4, 0.6)"
CC(=O)C(CCCCc1c[nH]c(Cl)c1Cl)C(=O)O,0.7073170731707317,0.003701182420496496,0,"[0.6, 0.8)"
CC(C)C(C(=O)O)C(C)O,0.5,0.996144469509477,1,"[0.4, 0.6)"
